,Name,Score rank,Popularity rank,Score,Episodes,Type,Link,Premiered,English name,Japanese name,Synonyms,Status,Aired,Broadcast,Producers,Licensors,Studios,Source,Genres,Duration,Rating,Members Favorites,Members Total,Members Watching,Members Completed,Members On-Hold,Members Dropped,Members Plan to Watch,Members score 10,Members score 9,Members score 8,Members score 7,Members score 6,Members score 5,Members score 4,Members score 3,Members score 2,Members score 1
87,One Piece,88,31,8.54,  Episodes:  Unknown  ,  Type:  TV,https://myanimelist.net/anime/21/One_Piece,    Premiered:          Fall 1999          ,One Piece  ,ONE PIECE  ,OP  ,  Status:  Currently Airing  ,"  Aired:  Oct 20, 1999 to ?  ",    Broadcast:    Sundays at 09:30 (JST)      ,"    Producers:          Fuji TV,       TAP,       Shueisha  ","    Licensors:          Funimation,       4Kids Entertainment  ",    Studios:          Toei Animation  ,  Source:  Manga  ,"  Genres:      ActionAction,     AdventureAdventure,     ComedyComedy,     Super PowerSuper Power,     DramaDrama,     FantasyFantasy,     ShounenShounen",  Duration:  24 min.  ,  Rating:  PG-13 - Teens 13 or older  ,"  Favorites:  116,420","1,483,440","979,560",77,"202,259","143,783","157,761",327051,181862,153554,91707,37722,20089,8644,3919,2791,6982
88,Ansatsu Kyoushitsu 2nd Season,90,87,8.53,  Episodes:  25  ,  Type:  TV,https://myanimelist.net/anime/30654/Ansatsu_Kyoushitsu_2nd_Season,    Premiered:          Winter 2016          ,Assassination Classroom Second Season  ,暗殺教室　第２期  ,"Ansatsu Kyoushitsu Season 2, Ansatsu Kyoushitsu Final Season  ",  Status:  Finished Airing  ,"  Aired:  Jan 8, 2016 to Jul 1, 2016  ",    Broadcast:    Fridays at 01:25 (JST)      ,"    Producers:          Dentsu,       Studio Hibari,       Fuji TV,       DAX Production,       Avex Pictures,       Shueisha,       Kansai Telecasting  ",    Licensors:          Funimation  ,    Studios:          Lerche  ,  Source:  Manga  ,"  Genres:      ActionAction,     ComedyComedy,     SchoolSchool,     ShounenShounen",  Duration:  23 min. per ep.  ,  Rating:  PG-13 - Teens 13 or older  ,"  Favorites:  13,986","997,814","51,313","782,066","24,190","14,143","126,102",143239,190283,172746,75958,21697,7785,2520,915,449,845
89,Gintama.: Porori-hen,91,1146,8.53,  Episodes:  13  ,  Type:  TV,https://myanimelist.net/anime/35843/Gintama__Porori-hen,    Premiered:          Fall 2017          ,Gintama.: Slip Arc  ,銀魂。ポロリ編  ,,  Status:  Finished Airing  ,"  Aired:  Oct 2, 2017 to Dec 25, 2017  ",    Broadcast:    Mondays at 01:35 (JST)      ,"    Producers:          TV Tokyo,       Aniplex,       Dentsu,       Shueisha  ","    Licensors:    None found, add some  ",    Studios:          Bandai Namco Pictures  ,  Source:  Manga  ,"  Genres:      ActionAction,     ComedyComedy,     HistoricalHistorical,     ParodyParody,     SamuraiSamurai,     Sci-FiSci-Fi,     ShounenShounen",  Duration:  23 min. per ep.  ,  Rating:  PG-13 - Teens 13 or older  ,  Favorites:  710,"139,179","8,197","86,557","2,307","1,301","40,817",21274,17124,17718,8552,2620,883,364,158,95,819
90,Holo no Graffiti,92,3147,8.53,  Episodes:  Unknown  ,  Type:  ONA,https://myanimelist.net/anime/44042/Holo_no_Graffiti,,Holo Graffiti  ,ホロのぐらふぃてぃ  ,"Horogura, HoloGra  ",  Status:  Currently Airing  ,"  Aired:  May 5, 2019 to ?  ",,    Producers:          Cover Corp  ,"    Licensors:    None found, add some  ","    Studios:    None found, add some  ",  Source:  Other  ,  Genres:      ComedyComedy,  Duration:  1 min.  ,  Rating:  PG-13 - Teens 13 or older  ,"  Favorites:  1,189","29,013","14,229",9,"1,081",956,"12,738",5918,1336,1330,771,308,194,86,69,79,691
91,Gintama Movie 1: Shinyaku Benizakura-hen,93,1273,8.52,  Episodes:  1  ,  Type:  Movie,https://myanimelist.net/anime/7472/Gintama_Movie_1__Shinyaku_Benizakura-hen,,Gintama: The Movie  ,劇場版 銀魂 新訳紅桜篇  ,"Gintama: Benizakura Arc - A New Retelling, Gintama Movie: Crimson Sakura Chapter New Edition, Gintama: Shin-yaku Benizakura-hen  ",  Status:  Finished Airing  ,"  Aired:  Apr 24, 2010  ",,"    Producers:          TV Tokyo,       Aniplex,       Dentsu,       Bandai,       Warner Bros. Japan,       Shueisha  ",    Licensors:          Sentai Filmworks  ,    Studios:          Sunrise  ,  Source:  Manga  ,"  Genres:      ActionAction,     Sci-FiSci-Fi,     ComedyComedy,     HistoricalHistorical,     ParodyParody,     SamuraiSamurai,     ShounenShounen",  Duration:  1 hr. 35 min.  ,  Rating:  R - 17+ (violence & profanity)  ,  Favorites:  450,"123,372","1,897","94,197",891,665,"25,722",19199,19285,19461,8719,2442,931,308,114,64,652
92,Neon Genesis Evangelion: The End of Evangelion,89,191,8.53,  Episodes:  1  ,  Type:  Movie,https://myanimelist.net/anime/32/Neon_Genesis_Evangelion__The_End_of_Evangelion,,Neon Genesis Evangelion: The End of Evangelion  ,新世紀エヴァンゲリオン劇場版 THE END OF EVANGELION  ,Shinseiki Evangelion Gekijouban: The End of Evangelion  ,  Status:  Finished Airing  ,"  Aired:  Jul 19, 1997  ",,"    Producers:          TV Tokyo,       Toei Animation,       Kadokawa Shoten,       Movic,       Sega,       TV Tokyo Music,       Audio Tanaka  ",    Licensors:          Manga Entertainment  ,"    Studios:          Gainax,       Production I.G  ",  Source:  Original  ,"  Genres:      Sci-FiSci-Fi,     DementiaDementia,     PsychologicalPsychological,     DramaDrama,     MechaMecha",  Duration:  1 hr. 27 min.  ,  Rating:  R+ - Mild Nudity  ,"  Favorites:  18,019","627,380","9,202","528,043","2,717","1,624","85,794",140694,105551,84909,44793,17807,7712,5002,2589,2204,2522
93,Slam Dunk,94,736,8.52,  Episodes:  101  ,  Type:  TV,https://myanimelist.net/anime/170/Slam_Dunk,    Premiered:          Fall 1993          ,Slam Dunk  ,スラムダンク  ,,  Status:  Finished Airing  ,"  Aired:  Oct 16, 1993 to Mar 23, 1996  ",    Broadcast:    Unknown      ,"    Producers:          TV Asahi,       Animax  ","    Licensors:          Flatiron Film Company,       Geneon Entertainment USA  ",    Studios:          Toei Animation  ,  Source:  Manga  ,"  Genres:      ComedyComedy,     DramaDrama,     SchoolSchool,     ShounenShounen,     SportsSports",  Duration:  23 min. per ep.  ,  Rating:  PG-13 - Teens 13 or older  ,"  Favorites:  5,135","215,793","16,754","115,410","13,037","8,316","62,276",25537,28617,27300,13440,4280,1703,521,224,127,473
94,Uchuu Kyoudai,95,1018,8.52,  Episodes:  99  ,  Type:  TV,https://myanimelist.net/anime/12431/Uchuu_Kyoudai,    Premiered:          Spring 2012          ,Space Brothers  ,宇宙兄弟  ,Uchuu Kyodai  ,  Status:  Finished Airing  ,"  Aired:  Apr 1, 2012 to Mar 22, 2014  ",    Broadcast:    Sundays at 07:00 (JST)      ,"    Producers:          Aniplex,       Dentsu,       YTV,       Trinity Sound  ",    Licensors:          Sentai Filmworks  ,    Studios:          A-1 Pictures  ,  Source:  Manga  ,"  Genres:      ComedyComedy,     Sci-FiSci-Fi,     SeinenSeinen,     Slice of LifeSlice of Life,     SpaceSpace",  Duration:  24 min. per ep.  ,  Rating:  PG-13 - Teens 13 or older  ,"  Favorites:  3,319","156,886","16,908","38,607","13,353","7,132","80,886",9997,13223,11878,5961,2106,926,307,124,64,405
95,Rainbow: Nisha Rokubou no Shichinin,96,484,8.51,  Episodes:  26  ,  Type:  TV,https://myanimelist.net/anime/6114/Rainbow__Nisha_Rokubou_no_Shichinin,    Premiered:          Spring 2010          ,Rainbow  ,RAINBOW 二舎六房の七人  ,Rainbow: Nisha Rokubou no Shichinin  ,  Status:  Finished Airing  ,"  Aired:  Apr 7, 2010 to Sep 29, 2010  ",    Broadcast:    Unknown      ,"    Producers:          VAP,       Nippon Television Network  ",    Licensors:          Funimation  ,    Studios:          Madhouse  ,  Source:  Manga  ,"  Genres:      DramaDrama,     HistoricalHistorical,     SeinenSeinen,     ThrillerThriller",  Duration:  22 min. per ep.  ,  Rating:  R - 17+ (violence & profanity)  ,"  Favorites:  7,191","319,410","21,944","141,482","16,673","12,644","126,667",33644,37702,31857,15153,5683,2701,1288,536,290,624
96,Steins;Gate 0,97,181,8.51,  Episodes:  23  ,  Type:  TV,https://myanimelist.net/anime/30484/Steins_Gate_0,    Premiered:          Spring 2018          ,Steins;Gate 0  ,シュタインズ・ゲート ゼロ  ,"Steins,Gate Zero  ",  Status:  Finished Airing  ,"  Aired:  Apr 12, 2018 to Sep 27, 2018  ",    Broadcast:    Thursdays at 01:35 (JST)      ,"    Producers:          Frontier Works,       Media Factory,       Kadokawa Shoten,       Movic  ",    Licensors:          Funimation  ,    Studios:          White Fox  ,  Source:  Visual novel  ,"  Genres:      Sci-FiSci-Fi,     PsychologicalPsychological,     DramaDrama,     ThrillerThriller",  Duration:  23 min. per ep.  ,  Rating:  PG-13 - Teens 13 or older  ,"  Favorites:  8,718","637,022","61,322","324,581","21,203","13,400","216,516",81483,86607,66740,31299,12091,5342,3429,1683,999,1453
97,Aria the Origination,98,1463,8.51,  Episodes:  13  ,  Type:  TV,https://myanimelist.net/anime/3297/Aria_the_Origination,    Premiered:          Winter 2008          ,Aria the Origination  ,ARIA The ORIGINATION  ,Aria Season 3  ,  Status:  Finished Airing  ,"  Aired:  Jan 8, 2008 to Apr 1, 2008  ",    Broadcast:    Tuesdays at 02:00 (JST)      ,"    Producers:          TV Tokyo,       Shochiku,       Mag Garden  ",    Licensors:          Nozomi Entertainment  ,    Studios:          Hal Film Maker  ,  Source:  Manga  ,"  Genres:      Sci-FiSci-Fi,     Slice of LifeSlice of Life,     FantasyFantasy,     ShounenShounen",  Duration:  24 min. per ep.  ,  Rating:  G - All Ages  ,"  Favorites:  3,530","101,834","3,822","31,801","2,579","2,549","61,083",9040,5828,4948,3172,1563,778,335,151,112,469
98,Gintama: The Semi-Final,99,3165,8.51,  Episodes:  2  ,  Type:  Special,https://myanimelist.net/anime/44087/Gintama__The_Semi-Final,,,銀魂 THE SEMI-FINAL  ,,  Status:  Finished Airing  ,"  Aired:  Jan 15, 2021 to Jan 20, 2021  ",,"    Producers:    None found, add some  ","    Licensors:    None found, add some  ","    Studios:    None found, add some  ",  Source:  Manga  ,"  Genres:      ActionAction,     ComedyComedy,     HistoricalHistorical,     ParodyParody,     SamuraiSamurai,     ShounenShounen",  Duration:  24 min. per ep.  ,  Rating:  PG-13 - Teens 13 or older  ,  Favorites:  146,"28,791","1,382","9,581",387,123,"17,318",2481,1923,2108,968,259,95,30,7,11,138
99,Hotaru no Haka,100,308,8.51,  Episodes:  1  ,  Type:  Movie,https://myanimelist.net/anime/578/Hotaru_no_Haka,,Grave of the Fireflies  ,火垂るの墓  ,Tombstone for Fireflies  ,  Status:  Finished Airing  ,"  Aired:  Apr 16, 1988  ",,"    Producers:    None found, add some  ","    Licensors:          ADV Films,       Central Park Media,       Sentai Filmworks  ",    Studios:          Studio Ghibli  ,  Source:  Novel  ,"  Genres:      DramaDrama,     HistoricalHistorical",  Duration:  1 hr. 28 min.  ,  Rating:  PG-13 - Teens 13 or older  ,"  Favorites:  5,245","477,027","6,461","356,666","2,941","1,323","109,636",86321,75973,67712,32768,12676,5413,2538,1011,596,885
100,Chihayafuru 3,101,1526,8.50,  Episodes:  24  ,  Type:  TV,https://myanimelist.net/anime/37379/Chihayafuru_3,    Premiered:          Fall 2019          ,,ちはやふる 3  ,Chihayafull 3  ,  Status:  Finished Airing  ,"  Aired:  Oct 23, 2019 to Mar 25, 2020  ",    Broadcast:    Wednesdays at 01:29 (JST)      ,"    Producers:          Kodansha,       Nippon Television Network,       TC Entertainment,       Nippon Television Music,       FBC  ",    Licensors:          Sentai Filmworks  ,    Studios:          Madhouse  ,  Source:  Manga  ,"  Genres:      GameGame,     Slice of LifeSlice of Life,     SportsSports,     DramaDrama,     SchoolSchool,     JoseiJosei",  Duration:  22 min. per ep.  ,  Rating:  PG-13 - Teens 13 or older  ,  Favorites:  982,"97,612","9,743","46,012","2,719","1,313","37,825",8090,13466,11601,4747,1434,472,145,115,35,257
101,Haikyuu!!,109,44,8.49,  Episodes:  25  ,  Type:  TV,https://myanimelist.net/anime/20583/Haikyuu,    Premiered:          Spring 2014          ,Haikyu!!  ,ハイキュー!!  ,"High Kyuu!!, HQ!!  ",  Status:  Finished Airing  ,"  Aired:  Apr 6, 2014 to Sep 21, 2014  ",    Broadcast:    Sundays at 17:00 (JST)      ,"    Producers:          Mainichi Broadcasting System,       TOHO animation,       Shueisha  ",    Licensors:          Sentai Filmworks  ,    Studios:          Production I.G  ,  Source:  Manga  ,"  Genres:      ComedyComedy,     SportsSports,     DramaDrama,     SchoolSchool,     ShounenShounen",  Duration:  24 min. per ep.  ,  Rating:  PG-13 - Teens 13 or older  ,"  Favorites:  54,343","1,349,174","92,000","1,025,897","36,016","25,403","169,858",182225,250329,251691,107638,27533,10737,3160,1264,761,1777
102,JoJo no Kimyou na Bouken Part 4: Diamond wa Kudakenai,102,152,8.50,  Episodes:  39  ,  Type:  TV,https://myanimelist.net/anime/31933/JoJo_no_Kimyou_na_Bouken_Part_4__Diamond_wa_Kudakenai,    Premiered:          Spring 2016          ,JoJo's Bizarre Adventure: Diamond is Unbreakable  ,ジョジョの奇妙な冒険 ダイヤモンドは砕けない  ,"JoJo no Kimyou na Bouken Part 4: Diamond wa Kudakenai, Diamond is not Crash  ",  Status:  Finished Airing  ,"  Aired:  Apr 2, 2016 to Dec 24, 2016  ",    Broadcast:    Saturdays at 00:30 (JST)      ,"    Producers:          Warner Bros. Japan,       KlockWorx,       Medicos Entertainment,       Shueisha  ",    Licensors:          VIZ Media  ,    Studios:          David Production  ,  Source:  Manga  ,"  Genres:      ActionAction,     AdventureAdventure,     ComedyComedy,     SupernaturalSupernatural,     DramaDrama,     ShounenShounen",  Duration:  23 min. per ep.  ,  Rating:  R - 17+ (violence & profanity)  ,"  Favorites:  24,938","710,318","47,347","566,840","12,514","6,906","76,711",103346,154541,134954,57584,16265,5379,2287,894,554,1352
103,Kono Subarashii Sekai ni Shukufuku wo!: Kurenai Densetsu,103,299,8.50,  Episodes:  1  ,  Type:  Movie,https://myanimelist.net/anime/38040/Kono_Subarashii_Sekai_ni_Shukufuku_wo__Kurenai_Densetsu,,KONOSUBA -God's blessing on this wonderful world!- Legend of Crimson  ,この素晴らしい世界に祝福を！紅伝説  ,"KonoSuba Movie, Eiga Kono Subarashii Sekai ni Shukufuku wo!, Kono Subarashii Sekai ni Shukufuku wo! Movie  ",  Status:  Finished Airing  ,"  Aired:  Aug 30, 2019  ",,"    Producers:    None found, add some  ","    Licensors:    None found, add some  ",    Studios:          J.C.Staff  ,  Source:  Light novel  ,"  Genres:      AdventureAdventure,     ComedyComedy,     FantasyFantasy,     MagicMagic,     ParodyParody,     SupernaturalSupernatural",  Duration:  1 hr. 30 min.  ,  Rating:  PG-13 - Teens 13 or older  ,"  Favorites:  3,291","483,050","10,415","370,590","2,495","1,774","97,776",58367,97300,90985,34325,8524,2739,909,393,196,374
104,Samurai Champloo,104,93,8.50,  Episodes:  26  ,  Type:  TV,https://myanimelist.net/anime/205/Samurai_Champloo,    Premiered:          Spring 2004          ,Samurai Champloo  ,サムライチャンプルー  ,SAMURAI CHAMPLOO  ,  Status:  Finished Airing  ,"  Aired:  May 20, 2004 to Mar 19, 2005  ",    Broadcast:    Saturdays at 10:30 (JST)      ,"    Producers:          Victor Entertainment,       Fuji TV,       Barnum Studio,       Tokuma Shoten,       flying DOG  ","    Licensors:          Funimation,       Geneon Entertainment USA  ",    Studios:          Manglobe  ,  Source:  Original  ,"  Genres:      ActionAction,     AdventureAdventure,     ComedyComedy,     HistoricalHistorical,     SamuraiSamurai,     ShounenShounen",  Duration:  24 min. per ep.  ,  Rating:  R - 17+ (violence & profanity)  ,"  Favorites:  28,169","955,832","64,553","584,190","48,651","21,361","237,077",111205,156175,141178,66140,18823,6882,2090,813,370,975
105,Shingeki no Kyojin,105,2,8.50,  Episodes:  25  ,  Type:  TV,https://myanimelist.net/anime/16498/Shingeki_no_Kyojin,    Premiered:          Spring 2013          ,Attack on Titan  ,進撃の巨人  ,AoT  ,  Status:  Finished Airing  ,"  Aired:  Apr 7, 2013 to Sep 29, 2013  ",    Broadcast:    Sundays at 01:58 (JST)      ,"    Producers:          Production I.G,       Dentsu,       Mainichi Broadcasting System,       Pony Canyon,       Kodansha,       Mad Box,       Pony Canyon Enterprise  ",    Licensors:          Funimation  ,    Studios:          Wit Studio  ,  Source:  Manga  ,"  Genres:      ActionAction,     MilitaryMilitary,     MysteryMystery,     Super PowerSuper Power,     DramaDrama,     FantasyFantasy,     ShounenShounen",  Duration:  24 min. per ep.  ,  Rating:  R - 17+ (violence & profanity)  ,"  Favorites:  123,636","2,812,756","154,137","2,436,326","39,883","46,440","135,970",536383,575815,513463,241020,75543,32771,12405,4913,2886,5894
106,Tian Guan Ci Fu Special,106,4484,8.50,  Episodes:  1  ,  Type:  ONA,https://myanimelist.net/anime/44070/Tian_Guan_Ci_Fu_Special,,,天官赐福特别节目  ,"Heaven Official's Blessing Special, TGCF Special  ",  Status:  Finished Airing  ,"  Aired:  Feb 16, 2021  ",,    Producers:          bilibili  ,"    Licensors:    None found, add some  ",    Studios:          Haoliners Animation League  ,  Source:  Novel  ,"  Genres:      HistoricalHistorical,     SupernaturalSupernatural,     DramaDrama",  Duration:  22 min.  ,  Rating:  PG-13 - Teens 13 or older  ,  Favorites:  149,"13,665",290,"8,098",77,71,"5,129",1875,1507,1505,762,215,84,24,17,13,30
107,Perfect Blue,107,336,8.49,  Episodes:  1  ,  Type:  Movie,https://myanimelist.net/anime/437/Perfect_Blue,,Perfect Blue  ,パーフェクトブルー  ,,  Status:  Finished Airing  ,"  Aired:  Feb 28, 1998  ",,    Producers:          Rex Entertainment  ,"    Licensors:          GKIDS,       Manga Entertainment  ",    Studios:          Madhouse  ,  Source:  Novel  ,"  Genres:      DementiaDementia,     DramaDrama,     HorrorHorror,     PsychologicalPsychological",  Duration:  1 hr. 21 min.  ,  Rating:  R+ - Mild Nudity  ,"  Favorites:  10,413","439,551","8,262","285,736","2,723","1,119","141,711",57341,72229,60897,26999,8963,3311,1438,553,367,696
108,Zoku Owarimonogatari,115,981,8.48,  Episodes:  6  ,  Type:  Movie,https://myanimelist.net/anime/36999/Zoku_Owarimonogatari,,,続・終物語  ,,  Status:  Finished Airing  ,"  Aired:  Nov 10, 2018  ",,"    Producers:          Aniplex,       Kodansha  ","    Licensors:    None found, add some  ",    Studios:          Shaft  ,  Source:  Light novel  ,"  Genres:      MysteryMystery,     ComedyComedy,     SupernaturalSupernatural,     VampireVampire",  Duration:  28 min. per ep.  ,  Rating:  R - 17+ (violence & profanity)  ,  Favorites:  682,"162,108","5,477","87,484","1,863",590,"66,694",15022,22215,20979,8167,2292,737,268,122,66,444
109,Banana Fish,108,276,8.49,  Episodes:  24  ,  Type:  TV,https://myanimelist.net/anime/36649/Banana_Fish,    Premiered:          Summer 2018          ,,BANANA FISH  ,,  Status:  Finished Airing  ,"  Aired:  Jul 6, 2018 to Dec 21, 2018  ",    Broadcast:    Fridays at 00:55 (JST)      ,"    Producers:          Aniplex,       Dentsu,       Movic,       Fuji TV,       Shogakukan  ","    Licensors:    None found, add some  ",    Studios:          MAPPA  ,  Source:  Manga  ,"  Genres:      ActionAction,     AdventureAdventure,     DramaDrama,     ShoujoShoujo",  Duration:  22 min. per ep.  ,  Rating:  R - 17+ (violence & profanity)  ,"  Favorites:  17,924","506,189","51,356","233,223","23,641","21,454","176,515",61977,54168,50321,26232,10501,4661,2156,852,480,877
110,Kenpuu Denki Berserk,110,319,8.49,  Episodes:  25  ,  Type:  TV,https://myanimelist.net/anime/33/Kenpuu_Denki_Berserk,    Premiered:          Fall 1997          ,Berserk  ,剣風伝奇ベルセルク  ,"Berserk: The Chronicles of Wind Blades, Sword-Wind Chronicle Berserk  ",  Status:  Finished Airing  ,"  Aired:  Oct 8, 1997 to Apr 1, 1998  ",    Broadcast:    Wednesdays at 01:45 (JST)      ,"    Producers:          VAP,       Hakusensha,       Nippon Television Network  ","    Licensors:          Media Blasters,       NYAV Post  ",    Studios:          OLM  ,  Source:  Manga  ,"  Genres:      ActionAction,     AdventureAdventure,     DemonsDemons,     DramaDrama,     FantasyFantasy,     HorrorHorror,     MilitaryMilitary,     RomanceRomance,     SeinenSeinen,     SupernaturalSupernatural",  Duration:  25 min. per ep.  ,  Rating:  R+ - Mild Nudity  ,"  Favorites:  17,908","455,750","20,954","291,192","13,311","9,699","120,594",62156,69845,64101,30508,9878,4058,1787,703,469,868
111,Mo Dao Zu Shi,111,1099,8.49,  Episodes:  15  ,  Type:  ONA,https://myanimelist.net/anime/37208/Mo_Dao_Zu_Shi,,,魔道祖师  ,"Modao Zushi, Grandmaster of Demonic Cultivation, The Founder of Diabolism, Mo Dao Zu Shi: Qianchen Pian, 魔道祖师 前尘篇, Madou Soshi  ",  Status:  Finished Airing  ,"  Aired:  Jul 9, 2018 to Oct 6, 2018  ",,    Producers:          Tencent Penguin Pictures  ,"    Licensors:    None found, add some  ",    Studios:          B.CMAY PICTURES  ,  Source:  Novel  ,"  Genres:      ActionAction,     AdventureAdventure,     MysteryMystery,     HistoricalHistorical,     SupernaturalSupernatural",  Duration:  24 min. per ep.  ,  Rating:  R - 17+ (violence & profanity)  ,"  Favorites:  4,191","146,193","13,170","55,731","4,416","4,356","68,520",13074,12295,11575,5844,2042,941,394,187,113,480
112,Mob Psycho 100,112,36,8.48,  Episodes:  12  ,  Type:  TV,https://myanimelist.net/anime/32182/Mob_Psycho_100,    Premiered:          Summer 2016          ,Mob Psycho 100  ,モブサイコ100  ,"Mob Psycho Hyaku, Mob Psycho One Hundred  ",  Status:  Finished Airing  ,"  Aired:  Jul 11, 2016 to Sep 27, 2016  ",    Broadcast:    Tuesdays at 00:00 (JST)      ,"    Producers:          Warner Bros. Japan,       KlockWorx,       BS Fuji,       Hakuhodo DY Music & Pictures,       Shogakukan  ","    Licensors:          Funimation,       Crunchyroll  ",    Studios:          Bones  ,  Source:  Web manga  ,"  Genres:      ActionAction,     Slice of LifeSlice of Life,     ComedyComedy,     SupernaturalSupernatural",  Duration:  24 min. per ep.  ,  Rating:  PG-13 - Teens 13 or older  ,"  Favorites:  28,668","1,390,694","74,348","1,040,964","29,221","21,091","225,070",149125,285303,277211,99752,22950,7880,2795,1042,577,1186
113,Shingeki no Kyojin Season 2,113,13,8.48,  Episodes:  12  ,  Type:  TV,https://myanimelist.net/anime/25777/Shingeki_no_Kyojin_Season_2,    Premiered:          Spring 2017          ,Attack on Titan Season 2  ,進撃の巨人 Season2  ,,  Status:  Finished Airing  ,"  Aired:  Apr 1, 2017 to Jun 17, 2017  ",    Broadcast:    Saturdays at 22:00 (JST)      ,"    Producers:          Production I.G,       Dentsu,       Mainichi Broadcasting System,       Pony Canyon,       Kodansha,       Techno Sound,       Pony Canyon Enterprise  ",    Licensors:          Funimation  ,    Studios:          Wit Studio  ,  Source:  Manga  ,"  Genres:      ActionAction,     MilitaryMilitary,     MysteryMystery,     Super PowerSuper Power,     DramaDrama,     FantasyFantasy,     ShounenShounen",  Duration:  24 min. per ep.  ,  Rating:  R - 17+ (violence & profanity)  ,"  Favorites:  16,118","1,825,992","75,518","1,565,772","15,447","13,007","156,248",289438,363966,354196,153603,42708,14073,5566,1904,939,2368
114,Steins;Gate Movie: Fuka Ryouiki no Déjà vu,114,312,8.48,  Episodes:  1  ,  Type:  Movie,https://myanimelist.net/anime/11577/Steins_Gate_Movie__Fuka_Ryouiki_no_Déjà_vu,,Steins;Gate: The Movie − Load Region of Déjà Vu  ,劇場版 シュタインズゲート 負荷領域のデジャヴ  ,Steins Gate Movie  ,  Status:  Finished Airing  ,"  Aired:  Apr 20, 2013  ",,"    Producers:          Frontier Works,       Media Factory,       Movic,       AT-X,       Kadokawa Pictures Japan,       MAGES.  ",    Licensors:          Funimation  ,    Studios:          White Fox  ,  Source:  Visual novel  ,"  Genres:      Sci-FiSci-Fi,     DramaDrama",  Duration:  1 hr. 30 min.  ,  Rating:  PG-13 - Teens 13 or older  ,"  Favorites:  2,082","470,799","7,333","358,076","2,670","1,073","101,647",65807,87452,74816,34303,10993,4107,1687,731,443,833
115,Vivy: Fluorite Eye's Song,119,935,8.47,  Episodes:  13  ,  Type:  TV,https://myanimelist.net/anime/46095/Vivy__Fluorite_Eyes_Song,    Premiered:          Spring 2021          ,Vivy -Fluorite Eye's Song-  ,Vivy -Fluorite Eye's Song- (ヴィヴィ -フローライトアイズソング-)  ,,  Status:  Currently Airing  ,"  Aired:  Apr 3, 2021 to ?  ",    Broadcast:    Saturdays at 23:30 (JST)      ,    Producers:          Aniplex  ,    Licensors:          Aniplex of America  ,    Studios:          Wit Studio  ,  Source:  Original  ,"  Genres:      ActionAction,     MusicMusic,     Sci-FiSci-Fi,     ThrillerThriller",  Duration:  24 min. per ep.  ,  Rating:  R - 17+ (violence & profanity)  ,"  Favorites:  1,337","170,839","97,707",27,"2,392","1,740","68,973",6356,10120,8654,3154,930,428,166,67,33,89
116,Nana,116,334,8.47,  Episodes:  47  ,  Type:  TV,https://myanimelist.net/anime/877/Nana,    Premiered:          Spring 2006          ,Nana  ,NANA [ナナ]  ,,  Status:  Finished Airing  ,"  Aired:  Apr 5, 2006 to Mar 28, 2007  ",    Broadcast:    Unknown      ,"    Producers:          VAP,       Nippon Television Network,       Shueisha  ","    Licensors:          VIZ Media,       Sentai Filmworks  ",    Studios:          Madhouse  ,  Source:  Manga  ,"  Genres:      MusicMusic,     Slice of LifeSlice of Life,     ComedyComedy,     DramaDrama,     RomanceRomance,     ShoujoShoujo",  Duration:  23 min. per ep.  ,  Rating:  R+ - Mild Nudity  ,"  Favorites:  16,910","440,761","30,640","197,800","23,422","19,519","169,380",47946,44308,39231,23940,9997,4820,2083,795,534,925
117,Nichijou,117,158,8.47,  Episodes:  26  ,  Type:  TV,https://myanimelist.net/anime/10165/Nichijou,    Premiered:          Spring 2011          ,Nichijou - My Ordinary Life  ,日常  ,Everyday  ,  Status:  Finished Airing  ,"  Aired:  Apr 3, 2011 to Sep 25, 2011  ",    Broadcast:    Sundays at 02:20 (JST)      ,"    Producers:          Lantis,       Kadokawa Shoten,       Movic,       Rakuonsha,       Kadokawa Pictures Japan,       KlockWorx,       Animation Do  ","    Licensors:          Funimation,       Bandai Entertainment  ",    Studios:          Kyoto Animation  ,  Source:  Manga  ,"  Genres:      Slice of LifeSlice of Life,     ComedyComedy,     SchoolSchool,     ShounenShounen",  Duration:  23 min. per ep.  ,  Rating:  PG-13 - Teens 13 or older  ,"  Favorites:  18,166","684,902","69,364","303,938","52,024","26,482","233,094",66755,78960,75972,38519,13363,6243,2454,1106,567,962
118,Saenai Heroine no Sodatekata Fine,118,1414,8.47,  Episodes:  1  ,  Type:  Movie,https://myanimelist.net/anime/36885/Saenai_Heroine_no_Sodatekata_Fine,,,冴えない彼女の育てかた Fine  ,"Saekano the Movie: Finale, Saenai Heroine no Sodatekata Movie, Saekano: How to Raise a Boring Girlfriend Movie  ",  Status:  Finished Airing  ,"  Aired:  Oct 26, 2019  ",,"    Producers:    None found, add some  ","    Licensors:    None found, add some  ",    Studios:          CloverWorks  ,  Source:  Light novel  ,"  Genres:      HaremHarem,     ComedyComedy,     RomanceRomance,     EcchiEcchi,     SchoolSchool",  Duration:  1 hr. 54 min.  ,  Rating:  PG-13 - Teens 13 or older  ,"  Favorites:  1,357","106,394","3,919","46,808","1,214",452,"54,001",8754,11534,10918,4732,1486,519,165,86,39,135
